Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
06/19/2024,802,,,"🆕 NWOB Frye chukka lace up low boot, black, sz 12",Men,Shoes,Chukka Boots,Frye,Black,12,Y,1,2,"",$216.00,$216.00,,""
06/24/2024,797,,,"🆕wob Sam Edelman, sz 7.5, grey slip on espadrille sneaker",Women,Shoes,Flats & Loafers,Sam Edelman,Gray,7.5,N,1,1,"",$67.00,$67.00,,$1.50
06/24/2024,797,,,"NWOB Frye Kids Valerie, dark brown, size 13",Kids,Shoes,Boots,Frye,Brown,13G,N,1,4,"",$105.00,$105.00,,$1.50
06/24/2024,797,,,"FRYE studded combat boots, black, sz 13 (little girls)",Kids,Shoes,Boots,Frye,Black,13G,N,1,2,"",$70.00,$90.00,,""
06/24/2024,797,,,"🆕WOB Footpetals black leather ballet flats, sz 6",Women,Shoes,Flats & Loafers,Foot Petals,Black,6,N,1,0,"",$57.00,$57.00,,$1.50
07/20/2024,771,,,"Nwob Frye Roper boots, sz 10.5, dark brown",Men,Shoes,Cowboy & Western Boots,Frye,Brown,10.5,N,1,6,"",$148.00,$198.00,,""
09/10/2024,719,,,🆕NWOB Frye Lily Woven Jacquard Fray Pool Slide Sandal SZ 6 Black Multi,Women,Shoes,Sandals,Frye,Black,6,N,1,2,"",$62.00,$75.00,,""
09/12/2024,717,,,"Before You Collection- duster, One Size, multi",Women,Tops,Tunics,before you collection,"Pink, Cream",One Size,N,1,0,"",$35.00,$35.00,,$1.50
09/13/2024,716,,,"Miss Selfridge floral pattern dress, sz 40, red",Women,Dresses,Mini,Miss Selfridge,"Red, Green",8,N,1,0,"",$35.00,$35.00,,$1.50
09/25/2024,704,,,🆕wot Frye Beanie- dark grey (UNISEX),Women,Accessories,Hats,Frye,Gray,OS,N,1,1,"",$30.00,$43.00,,$0
09/25/2024,704,,,"🆕wot Frye unisex beanie, dark grey",Men,Accessories,Hats,Frye,Gray,OS,N,1,3,"",$43.00,$43.00,,""
09/25/2024,704,,,"Robert Clergerie twist suede open wedge sandal, black, sz 6",Women,Shoes,Wedges,Robert Clergerie,Black,6,N,1,7,"",$109.00,$109.00,,$1.50
09/26/2024,703,,,"🆕nwt Levi’s 725 High Rise Bootcut - blue, 30 x 30",Women,Jeans,Boot Cut,Levi's,Blue,30,Y,1,1,"",$98.00,$100.00,,""
09/27/2024,702,,,"Via Spiga watch, fuschia, leather",Women,Accessories,Watches,Via Spiga,Pink,OS,N,1,2,"",$54.00,$54.00,,$1.50
10/02/2024,697,,,"🆕NWT oysho bikini bottom, L, multi colored",Women,Swim,Bikinis,Oysho,Red,L,Y,1,0,"",$15.00,$15.00,,""
10/02/2024,697,,,"🆕Timberland beanie, tan",Men,Accessories,Hats,Timberland,Tan,OS,N,1,5,"",$20.00,$20.00,,""
10/12/2024,687,,,"NWOT Frye Casey large crossbody, black",Women,Bags,Crossbody Bags,Frye,Black,OS,N,1,8,"",$198.00,$198.00,,$1.50
11/03/2024,665,,,"Frye Ray Mules, black, Sz 7.5",Women,Shoes,Mules & Clogs,Frye,Black,7.5,N,1,6,"",$128.00,$128.00,,$1.50
11/09/2024,659,,,Beach or Pool Tote -brown/beige,Women,Bags,Totes,no brand,"Brown, Tan",OS,N,1,1,"",$25.00,$25.00,,$1.50
11/10/2024,658,,,"Taryn Rose blythe flats, BLK/metallic, 7",Women,Shoes,Flats & Loafers,Taryn Rose,Silver,7,N,1,0,"",$108.00,$108.00,,$1.50
11/10/2024,658,,,"Frye Alexis Low Lace sneaker - black, sz 7.5",Women,Shoes,Sneakers,Frye,Black,7.5,N,1,2,"",$148.00,$148.00,,$1.50
11/11/2024,657,,,"🆕 Parfois bucket/crossbody, camel, OS",Women,Bags,Crossbody Bags,Parfois,"Tan, Brown",OS,Y,1,11,"",$25.00,$30.00,,""
11/12/2024,656,,,"🆕Pikolinos Royal lace up Oxford, brown (cuero), as 37",Women,Shoes,Flats & Loafers,PIKOLINOS,Brown,37EU,Y,1,14,"",$125.00,$125.00,,$1.50
11/13/2024,655,,,"🆕nwt Luz da Lua shoulder bag, beige/ tan",Women,Bags,Shoulder Bags,Luz da Lua,Cream,OS,Y,1,0,"",$85.00,$85.00,,""
11/14/2024,654,,,"🆕wot/b Rachel Zoe open to boot, sz 7, brown/black",Women,Shoes,Heeled Boots,Rachel Zoe,Brown,7,N,1,4,"",$135.00,$135.00,,$1.50
11/15/2024,653,,,NWT LOreal -020- Fuschia for Life- Infallible Duo Long Lasting Nail Polish,Women,Makeup,Nail Tools,L'Oreal,Pink,OS,Y,1,0,"",$12.00,$12.00,,$0
11/15/2024,653,,,"🆕 Classical Elf Japan, beige vest, sz M",Women,Jackets & Coats,Vests,Classical Elf,Tan,M,Y,1,0,"",$30.00,$30.00,,$0
11/15/2024,653,,,🆕 Trucker Hat - pig logo - suede blue bill,Men,Accessories,Gloves,,"Blue, Black",OS,N,1,3,"",$35.00,$35.00,,""
11/15/2024,653,,,"🆕Lands’ End winter boots, black, sz 9",Women,Shoes,Winter & Rain Boots,Lands' End,Black,9,N,1,0,"",$115.00,$115.00,,$1.50
11/15/2024,653,,,"🆕 NWOB Vionic flats, beige, sz 38",Women,Shoes,Flats & Loafers,Vionic,"Cream, Tan",38EU,N,1,10,"",$90.00,$90.00,,$0
11/16/2024,652,,,"🆕nwob Barney’s knee high boots, tan/sand, sz 36",Women,Shoes,Heeled Boots,Barneys New York,Tan,36EU,N,1,2,"",$170.00,$170.00,,$1.50
11/16/2024,652,,,"Vionic Willa Wedge, black, Sz 7.5",Women,Shoes,Wedges,Vionic,Black,7.5,N,1,7,"",$55.00,$70.00,,$1.50
11/16/2024,652,,,"Frye Ruth sandal, white/tan, sz 7.5",Women,Shoes,Sandals,Frye,"White, Tan",7.5,N,1,1,"",$75.00,$75.00,,$1.50
11/16/2024,652,,,"🆕wob Coach shearling wedge bootie, sz 6, tan",Women,Shoes,Ankle Boots & Booties,Coach,Tan,6,N,1,0,"",$120.00,$120.00,,$1.50
11/16/2024,652,,,"Mango croc embossed mini crossbody bag, ivory",Women,Bags,Mini Bags,Mango,White,OS,N,1,8,"",$28.00,$30.00,,""
11/22/2024,646,,,"Frye Jenny fold over tote, grey",Women,Bags,Totes,Frye,Gray,OS,N,1,4,"",$210.00,$210.00,,$1.50
11/22/2024,646,,,"NWOT LOTTO Sweat HD Black / Green / Red Fl Men's Sweatshirt, sz M (us)/L (eu)",Men,Shirts,Sweatshirts & Hoodies,Lotto,"Black, Green",M,N,1,4,"",$30.00,$35.00,,""
11/24/2024,644,,,"🆕wob Vionic Slip ons, black, Sz 11",Men,Shoes,Loafers & Slip-Ons,Vionic,Black,11,N,1,2,"",$70.00,$70.00,,$1.50
11/24/2024,644,,,"🆕wob Coach Elton booties, Chestnut, sz 6",Women,Shoes,Ankle Boots & Booties,Coach,Brown,6,N,1,0,"",$150.00,$150.00,,$1.50
11/28/2024,640,,,"Like new Max Azzure travel bag, black",Women,Bags,Travel Bags,Max Azzure,Black,OS,N,1,1,"",$110.00,$110.00,,$1.50
11/28/2024,640,,,"🆕wob Aquatalia suede bootie, grey, Sz 6.5",Women,Shoes,Ankle Boots & Booties,Aquatalia,Gray,6.5,N,1,0,"",$100.00,$100.00,,$1.50
11/30/2024,638,,,"🆕wob Frye Patrick Cowboy boots, Sz 9, black/ice grey",Men,Shoes,Boots,Frye,"Black, Gray",9,Y,1,7,"",$290.00,$290.00,,""
11/30/2024,638,,,"🆕NWOB Coach winter boots, brown, Sz 6",Women,Shoes,Winter & Rain Boots,Coach,Brown,6,N,1,0,"",$118.00,$118.00,,$1.50
12/01/2024,637,,,"NWOB Prada slip on smoking slipper, black, Sz 36",Women,Shoes,Flats & Loafers,Prada,Black,36EU,N,1,6,"",$289.00,$289.00,,$1.50
12/03/2024,635,,,"🆕 Snozu Infant Winter suit, navy blue/red, 24M",Kids,Jackets & Coats,Puffers,Snozu,"Red, Blue",24MB,Y,1,0,"",$26.00,$26.00,,$1.50
12/06/2024,632,,,"🆕NWOB Aquatalia Tall Boot, Back Braid detail, brown, sz 6.5",Women,Shoes,Heeled Boots,Aquatalia,Brown,6.5,N,1,3,"",$150.00,$150.00,,$1.50
