Brand,Type,Gender,Color,Price,Ship To,Date Listed,Date Sold,Sample
Coach,Shoes,Women,"Blue,Gray",40.00,NE,2025-03-03,2026-03-17,no
Oura,Wearables,Electronics,Silver,228.00,PA,2026-03-20,2026-03-27,no
Frye,Shoes,Women,Brown,134.00,WA,2021-07-17,2026-03-27,no
Taryn Rose,Shoes,Women,Blue,70.00,IL,2022-08-15,2026-04-25,no
Pantone,Other,Home,"Blue,White",345.00,CA,2025-10-15,2026-04-24,no
all in motion,Sweaters,Women,Gray,12.00,NY,2025-01-18,2026-05-08,no
PIKOLINOS,Shoes,Women,White,108.00,IL,2021-07-11,2026-05-06,no
Frye,Shoes,Women,"Brown,Gold",210.00,WA,2025-03-08,2026-05-16,no
Manolo Blahnik,Shoes,Women,Silver,128.00,FL,2026-05-31,2026-07-16,no
Commense,Dresses,Women,"Black,Cream",28.00,RI,2026-07-30,2026-08-03,no
Commense,Dresses,Women,"Black,Cream",32.00,SC,2026-07-29,2026-08-03,no
Coleman,Dog,Pets,"Red,Black",30.00,FL,2026-08-01,2026-08-13,no
due per due,Pants & Jumpsuits,Women,Purple,32.00,FL,2026-07-28,2026-08-14,no
Polo Ralph Lauren,Accessories,Women,"Yellow,Blue",29.29,IL,2026-08-16,2026-08-21,no
Polo Ralph Lauren,Accessories,Women,Blue,30.71,IL,2026-08-16,2026-08-21,no
